출원번호,일련번호,특허유형
1020080027721,1020070029050,A
1020080027721,2003932810000,Y1
1020080066623,2001907530000,Y1
1020080066623,2003125150000,Y1
1020080066623,2004056030000,Y1
1020080066623,2003708590000,Y1
1020080066623,2003791060000,Y1
1020110024169,1020000054178,A
1020110024169,2003107080000,Y1
1020110024169,2020000015947,U
1020190073289,1019990018498,A
1020190073289,1020170003809,A
1020190073289,1020130003191,A
1020190073289,1017147090000,B1
1020190137518,1020180038860,A
1020060030462,2019990036186,U
1020060030462,2002422350000,Y1
1020090093731,1008801530000,B1
1020090093731,1019940005033,B1
1020090093731,1020050111561,A
1020060088264,1019980025315,A
1020060088264,1019990037936,A
1020060088264,1019990068476,A
1020060088264,2003269090000,Y1
1020060088264,2003567080000,Y1
1020060088264,2003953960000,Y1
1020060088264,2019990039349,U
1020090121429,1004730830000,B1
1020090121429,2019910002175,Y1
1020180118108,1018017320000,B1
1020180118108,2019830002972,Y1
1020180118108,1003340610000,B1
1020180118108,1020150104797,A
1020180118108,1020090083312,A
1020080017988,2003046710000,Y1
1020120043929,1008279320000,B1
1020120043929,1020040033837,A
1020120043929,1020070103604,A
1020150121959,1020130052912,A
1020150121959,1020030071249,A
1020150121959,1020120045249,A
1020230056802,1020210112491,A
1020230056802,2019850004138,U
1020180019428,1014466430000,B1
1020180019428,1020100050299,A
1020180019428,1020170051181,A
1020180019428,1015271010000,B1
1020200054311,1019762850000,B1
1020200054311,1020170108603,A
1020200054311,2004914460000,Y1
1020200078165,1019762850000,B1
1020200078165,1020170108603,A
1020200078165,2004914460000,Y1
1020080078734,1001806300000,B1
1020170162952,1005142130000,B1
1020170162952,1017150020000,B1
1020170162952,1019980082319,A
1020190107837,1020180131259,A
1020190107837,1020180111347,A
1020140013269,1013367250000,B1
1020130161266,1019990054964,A
1020190120513,1019272640000,B1
1020190120513,1019970011366,A
1020190120513,1020040050022,A
1020190120513,1020180099545,A
1020180145022,1020050071762,A
1020180145022,1020100006768,A
1020180145022,1020160133784,A
1020180145022,1020170035439,A
1020180145022,1020170070587,A
1020060088485,1020010099472,A
1020060088485,1020040034210,A
1020060088485,2001903190000,Y1
1020120126993,1020050087770,A
1020140163634,2004670670000,Y1
1020140163634,1002674870000,B1
1020140163634,1020110074185,A
1020140163634,1020090098431,A
1020190055630,1013965290000,B1
1020190055630,1010146870000,B1
1020190055630,1019990079759,A
1020190055630,1020140025881,A
1020190055630,1020000032669,A
1020190055630,2004050350000,Y1
